No,Eccentricity,Aspect Ratio,Elongation,Solidity,Stochastic Convexity,Isoperimetric Factor,Maximal Indentation Depth,Lobedness,Average Intensity,Average Contrast,Smoothness,Third moment,Uniformity,Entropy,Class
0,0.7278789638633837,0.07743460447525999,0.3416074403694877,0.9914174749466738,1.0,0.9740840868835648,0.0234023519951754,0.0005476534095639866,0.25064247128546696,0.4556461664470639,0.22038884100206602,0.17566306318404618,0.09359288779889637,0.4340409820934096,1
1,0.7426880676072133,0.08013972055888224,0.3808338781449691,0.9875638910129998,0.99825,0.9306772629812622,0.026345863905920197,0.0006940689961422109,0.12671107148476424,0.3221965029735408,0.11109058818700487,0.09091519505808096,0.025494243477076097,0.2571866346686358,1
2,0.7682109921799121,0.08259796197079525,0.4112238226796297,0.9835694450034212,1.0,0.9416891954880208,0.03747763594331089,0.001404485026782493,0.0623957623118477,0.2045689256080624,0.045001299785193384,0.030909823406969718,0.01290483002929355,0.1637363854532029,1
3,0.7389232109421153,0.07667296984977412,0.3730307695552228,0.98166780697871,1.0,0.95200195767689,0.034560257312292696,0.0011943604118675585,0.08365238369958566,0.2332217513621309,0.05843150132030811,0.038756462767743236,0.022573744805504455,0.2170389514491416,1
4,0.8240730542399696,0.09300871940329866,0.4688402893477023,0.9829959351229526,1.0,0.8797077468071222,0.037330384963312896,0.0013935222447337015,0.041631614831908526,0.16145792528756098,0.02806715100767557,0.018796078694688783,0.008005994958784658,0.12632084179435113,1
5,0.7309128776121196,0.07822250236369367,0.3615159120146783,0.9936310218537452,1.0,0.9844551132655917,0.024852246456930342,0.000617607060586717,0.05500078669953322,0.20842562586802466,0.04670743887589104,0.03776270731216008,0.008446760678520335,0.12578179804319736,1
6,0.8216899800742958,0.09207374724235738,0.4687981103823524,0.9856723145651388,0.99649,0.8945884217395358,0.029791436325258817,0.0008874857761372151,0.0963706928200556,0.28698052063672946,0.08828004214040415,0.07625394480628482,0.014134137202806731,0.19901790659036367,1
7,0.7808272671746552,0.08517176173967854,0.4135858447392285,0.9911860586791164,0.99825,0.9417358068425468,0.025624183335008544,0.000656573506147484,0.1304610059264698,0.3193832128485453,0.1091737470754833,0.08280400188007789,0.04998978132025343,0.247277090640576,1
8,0.8319632325700154,0.09559302447736108,0.4818208659341587,0.9884493097758282,1.0,0.8985037755197166,0.030181425268871243,0.0009108822958008383,0.03799601405569833,0.1446387236921762,0.022532802473696455,0.01303028268313973,0.011193882417058385,0.12440834410190142,1
9,0.9074806500385498,0.12556991280596702,0.6151380306641078,0.9828450114701978,0.99825,0.7739698890649761,0.04222484671826314,0.0017829091615553273,0.0367629936539571,0.1508030340799829,0.02449205762837089,0.015406231115289062,0.009622930717351316,0.10368100424589256,1
10,0.7468634538554736,0.07840634520432818,0.3597443954699791,0.9890127580794464,1.0,0.9682110562132936,0.027975173384259727,0.0007825899919513753,0.03025069491792101,0.13002029842242085,0.018214779241746363,0.010364600819176796,0.010845084815041895,0.09239800627653684,1
11,0.7970882438345466,0.08894841895157055,0.4575046924098952,0.9878556767416592,1.0,0.8970937820453062,0.03919589908533521,0.001536315950154034,0.07173126343945037,0.2059470816566362,0.04560741014379729,0.027411535620761433,0.04719326929627359,0.18368469632637996,1
12,0.93481591252716,0.1448786637251812,0.6775734441234157,0.9895158369219624,1.0,0.6974340449333457,0.02780983013368178,0.0007733757042546696,0.15582944354119682,0.3201061215768669,0.10966492905909236,0.06932115759081449,0.08135090946249744,0.3378216725124608,2
13,0.9130378187862342,0.13128479882340582,0.6360904317017104,0.9890530043868476,1.0,0.7564556726018459,0.030904613528997888,0.0009550525935999556,0.09905596056013008,0.2581318329119333,0.07151144495067657,0.04997985630833278,0.028363989372573062,0.2503636699280045,2
14,0.8917803967117581,0.12042756592078999,0.5975388573718287,0.9933996055861876,1.0,0.7740631117740282,0.014255201527791741,0.00020320002220310291,0.15352179157707035,0.3252305829564474,0.1131729808863167,0.0751460417645874,0.06868996525648885,0.3218645006461141,2
15,0.8686705850547206,0.10552579052421472,0.5426745681928422,0.9929870809353244,1.0,0.818926540505267,0.027359031058397824,0.0007484804751464018,0.15916504956207062,0.32784801111071543,0.11498857557224752,0.07567649231182436,0.06762722256284487,0.349067749676943,2
16,0.9197064212834558,0.13261371992856394,0.6500622139738913,0.9847265263412084,1.0,0.7345599888132749,0.025376419740677454,0.0006439454913824206,0.12109928148109295,0.29211566539653144,0.09144878162240556,0.06354998992815418,0.042414333401457865,0.2647701679896622,2
17,0.8890969350462097,0.1157579577686732,0.5928042685112934,0.984374371151447,0.99825,0.7476228209191759,0.0297728414916072,0.0008863756209930338,0.17161588084124405,0.3310743919376091,0.1172419926391112,0.07117101994225475,0.09445125689760883,0.3721617131253461,2
