No,Mean of the integrated profile,Standard deviation of the integrated profile,Excess kurtosis of the integrated profile,Skewness of the integrated profile,Mean of the DM-SNR curve,Standard deviation of the DM-SNR curve,Excess kurtosis of the DM-SNR curve,Skewness of the DM-SNR curve,Class
0,0.7297505576962077,0.5637213628122307,-0.02906881109721675,-0.010273593788615934,0.014323837753817488,0.17272274502078686,0.23090815784018745,0.06233599726680965,0
1,0.5321841411478402,0.596103253322099,0.05766365732040533,-0.007563518986994908,0.007508131312256261,0.13430810573482885,0.3062111884992844,0.10696346773432198,0
2,0.534820523220442,0.3982798471166821,0.04006784579766672,0.01543523343933736,0.013972011060971056,0.1965314018228772,0.2239680634471328,0.05304102830785837,0
3,0.7099574122895964,0.5788527971423113,-0.008478152437034684,-0.009342484845991931,0.016307541441906732,0.18943294956183754,0.19966792183725832,0.044998843833726036,0
4,0.4606367876698438,0.4117500905216249,0.07446117323613295,0.016497282494303385,0.005277400374790715,0.10365591520457204,0.4131336771962434,0.2120630800194812,0
5,0.4857838166700466,0.4727538824153344,0.06591528556064373,0.006119107099272304,0.007324732290659977,0.13146044507899593,0.3075216072652469,0.1103223442151116,0
6,0.6203204218211316,0.4936788524922493,0.0038986472582467993,-0.0016470617020649912,0.004472690389928915,0.0838704522322695,0.5560601279597145,0.4028179930657765,0
7,0.6769012370715879,0.40336601547582135,-0.01961984341792329,0.0057199878373586565,0.00546454223173532,0.12995891135963986,0.3919952836359335,0.1664452705166319,0
8,0.5568038937335226,0.5327764599046474,0.05609849287472905,0.002501370417805467,0.010438772795589916,0.13093423415385014,0.26059771409177285,0.0906569519060716,0
9,0.5568444534577165,0.39984737756371536,0.05773352601854952,0.017075615740993894,0.018261302429303686,0.2257765625301055,0.2141607792817319,0.048517797884637434,0
10,0.7376191441898196,0.4584791663809508,-0.03969608412666576,0.004169541029812419,0.024066442843364046,0.26219557005127303,0.17592047652488266,0.0317643717575322,0
11,0.6918272155749341,0.4460288484774804,-0.010045187501554786,0.001693961216626669,0.0073060181049655155,0.10852825169420467,0.3466161156993917,0.16418413952802288,0
12,0.7006692354491989,0.5016690939784788,-0.016767267284072802,-0.0011816106570712054,0.04788211557514487,0.3736552567578581,0.11273745525833538,0.011864984314868288,0
